StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major
1,Male,24,37,90.75,3.47,Arts
2,Female,22,37,74.9,2.32,Education
3,Male,22,10,53.36,2.38,Business
4,Male,24,10,70.26,3.46,Science
5,Male,18,19,74.87,2.31,Education
6,Female,20,17,86.01,2.47,Business
7,Male,19,21,55.33,3.93,Arts
8,Male,18,14,57,2.51,Education
9,Male,19,9,63.18,3.32,Business
10,Female,24,1,63.32,3.96,Engineering
11,Male,23,13,86.61,2.75,Engineering
12,Male,19,4,62.54,2.04,Science
13,Male,20,1,81.65,2.49,Business
14,Male,23,32,74.71,3.66,Engineering
15,Female,19,34,78.66,3.73,Arts
16,Male,24,28,91.91,3.54,Business
17,Female,23,31,70.22,2.23,Arts
18,Female,24,8,88.55,3.59,Arts
19,Female,19,39,71.1,3.84,Engineering
20,Male,24,26,67.69,3.2,Business
21,Female,20,34,97.93,3.88,Education
22,Male,19,3,59.22,3.65,Engineering
23,Female,19,12,54.52,3.33,Engineering
24,Female,19,1,88.55,3.15,Business
25,Female,18,5,53.41,2.7,Business
26,Female,18,30,91.85,2.32,Arts
27,Female,18,30,71.86,3.21,Business
28,Female,20,17,95.78,2.64,Arts
29,Female,23,23,86.08,3.73,Engineering
30,Female,24,15,80.52,3.99,Science
31,Male,22,37,97.47,3.5,Education
32,Male,19,21,69.83,2.18,Engineering
33,Female,24,14,97.7,2.58,Business
34,Female,19,2,56.75,2.22,Education
35,Female,20,11,74.19,3.3,Science
36,Male,19,39,63.5,3.53,Science
37,Female,18,38,76.99,3.85,Arts
38,Male,22,34,58.1,2.88,Education
39,Male,21,38,92.08,3.8,Arts
40,Male,19,34,92.32,3.76,Engineering
41,Male,24,18,97.76,2.63,Education
42,Male,18,30,57.73,3.74,Engineering
43,Female,21,15,81.17,2.75,Arts
44,Female,22,27,73.71,2.59,Education
45,Female,21,34,67.22,3.3,Arts
46,Female,18,38,67.58,2.66,Education
47,Female,23,33,70.64,3.26,Arts
48,Male,23,24,85.25,3.22,Science
49,Female,21,15,79.91,3.13,Arts
50,Female,20,30,72.98,2.76,Science
51,Male,24,17,53.8,3.1,Arts
52,Female,24,5,53.89,3.19,Education
53,Male,21,29,50.12,3.09,Education
54,Female,19,4,98.38,2.89,Education
55,Male,19,10,50.26,2.03,Business
56,Female,24,17,55.15,3.17,Engineering
57,Female,24,10,65.73,2.34,Education
58,Male,23,17,90.37,3.29,Science
59,Male,20,20,98.1,3.52,Education
60,Male,18,24,89.5,3,Business
61,Male,19,5,84.53,3.08,Science
62,Male,24,34,76.07,3.9,Business
63,Male,23,6,54.34,3.69,Science
64,Male,22,2,97.91,3.83,Arts
65,Male,23,13,87.92,3.63,Engineering
66,Female,19,11,81.95,2.22,Engineering
67,Female,19,23,87.95,2.3,Business
68,Male,23,16,86.21,3.05,Engineering
69,Female,18,31,81.86,2.49,Business
70,Female,21,11,99.03,2.95,Business
71,Female,19,16,95.17,2.79,Business
72,Female,23,8,82.33,3.1,Engineering
73,Male,24,4,84.66,3.49,Business
74,Female,23,4,52.58,3.43,Engineering
75,Male,20,25,83.5,3.04,Business
76,Female,21,3,52.21,3.64,Education
77,Female,22,32,79.41,2.86,Business
78,Female,18,3,99.97,3.79,Science
79,Male,22,27,77.79,2.14,Business
80,Female,21,29,73.66,3.91,Arts
81,Male,21,32,65.64,3.31,Business
82,Female,21,19,56.03,2.76,Science
